tiempo,origin,timestamp,class,details
2024-02-29 18:36:20.376830,NodoTest001,724683,keepAlive,
2024-02-29 18:36:20.396525,NodoTest001,724816,received,1709242580271
2024-02-29 18:36:20.436281,NodoTest001,724834,received,1709242580372
2024-02-29 18:36:20.597844,NodoTest001,725021,received,1709242580471
2024-02-29 18:36:20.788375,NodoTest001,725035,received,1709242580572
2024-02-29 18:36:20.808172,NodoTest001,725227,received,1709242580671
2024-02-29 18:36:20.995616,NodoTest001,725245,received,1709242580772
2024-02-29 18:36:21.005616,NodoTest001,725431,received,1709242580871
2024-02-29 18:36:21.197307,NodoTest001,725444,received,1709242580972
2024-02-29 18:36:21.211287,NodoTest001,725637,received,1709242581071
2024-02-29 18:36:21.403412,NodoTest001,725650,received,1709242581172
2024-02-29 18:36:21.408437,NodoTest001,725683,keepAlive,
2024-02-29 18:36:21.437372,NodoTest001,725842,received,1709242581271
2024-02-29 18:36:21.444006,NodoTest001,725854,received,1709242581372
2024-02-29 18:36:21.619429,NodoTest001,726046,received,1709242581471
2024-02-29 18:36:21.811523,NodoTest001,726059,received,1709242581572
2024-02-29 18:36:22.017496,NodoTest001,726253,received,1709242581671
2024-02-29 18:36:22.026152,NodoTest001,726265,received,1709242581772
2024-02-29 18:36:22.221332,NodoTest001,726456,received,1709242581871
2024-02-29 18:36:22.229023,NodoTest001,726468,received,1709242581971
2024-02-29 18:36:22.237018,NodoTest001,726660,received,1709242582072
2024-02-29 18:36:22.426035,NodoTest001,726673,received,1709242582171
2024-02-29 18:36:22.432128,NodoTest001,726685,keepAlive,
2024-02-29 18:36:22.440134,NodoTest001,726866,received,1709242582271
2024-02-29 18:36:22.496380,NodoTest001,726879,received,1709242582372
2024-02-29 18:36:22.595510,NodoTest001,726934,received,1709242582472
2024-02-29 18:36:22.836026,NodoTest001,727034,received,1709242582572
2024-02-29 18:36:22.895332,NodoTest001,727276,received,1709242582671
2024-02-29 18:36:22.903006,NodoTest001,727289,received,1709242582772
2024-02-29 18:36:22.937695,NodoTest001,727333,received,1709242582871
2024-02-29 18:36:23.006920,NodoTest001,727433,received,1709242582972
2024-02-29 18:36:23.109214,NodoTest001,727534,received,1709242583071
2024-02-29 18:36:23.245011,NodoTest001,727683,keepAlive,
2024-02-29 18:36:23.295618,NodoTest001,727686,received,1709242583172
2024-02-29 18:36:23.449458,NodoTest001,727733,received,1709242583271
2024-02-29 18:36:23.495992,NodoTest001,727889,received,1709242583371
2024-02-29 18:36:23.655775,NodoTest001,727934,received,1709242583472
2024-02-29 18:36:23.696301,NodoTest001,728094,received,1709242583572
2024-02-29 18:36:23.707900,NodoTest001,728133,received,1709242583671
2024-02-29 18:36:23.873059,NodoTest001,728297,received,1709242583772
2024-02-29 18:36:23.909375,NodoTest001,728334,received,1709242583872
2024-02-29 18:36:24.008110,NodoTest001,728432,received,1709242583971
2024-02-29 18:36:24.266520,NodoTest001,728683,keepAlive,
2024-02-29 18:36:24.294799,NodoTest001,728709,received,1709242584071
2024-02-29 18:36:24.476374,NodoTest001,728721,received,1709242584172
2024-02-29 18:36:24.483876,NodoTest001,728734,received,1709242584271
2024-02-29 18:36:24.498878,NodoTest001,728913,received,1709242584371
2024-02-29 18:36:24.678030,NodoTest001,728936,received,1709242584472
2024-02-29 18:36:24.696039,NodoTest001,729117,received,1709242584571
2024-02-29 18:36:24.884400,NodoTest001,729134,received,1709242584672
2024-02-29 18:36:24.898400,NodoTest001,729323,received,1709242584771
2024-02-29 18:36:24.941485,NodoTest001,729336,received,1709242584871
2024-02-29 18:36:25.007737,NodoTest001,729434,received,1709242584972
2024-02-29 18:36:25.293390,NodoTest001,729683,keepAlive,
2024-02-29 18:36:25.498277,NodoTest001,729733,received,1709242585071
2024-02-29 18:36:25.505564,NodoTest001,729745,received,1709242585172
2024-02-29 18:36:25.513564,NodoTest001,729758,received,1709242585271
2024-02-29 18:36:25.704639,NodoTest001,729937,received,1709242585372
2024-02-29 18:36:25.712638,NodoTest001,729949,received,1709242585471
2024-02-29 18:36:25.907994,NodoTest001,730143,received,1709242585572
2024-02-29 18:36:25.915994,NodoTest001,730155,received,1709242585672
2024-02-29 18:36:25.924510,NodoTest001,730348,received,1709242585771
2024-02-29 18:36:25.944127,NodoTest001,730361,received,1709242585872
2024-02-29 18:36:26.008897,NodoTest001,730434,received,1709242585971
2024-02-29 18:36:26.125388,NodoTest001,730551,received,1709242586072
2024-02-29 18:36:26.313912,NodoTest001,730683,keepAlive,
2024-02-29 18:36:26.523304,NodoTest001,730758,received,1709242586171
2024-02-29 18:36:26.530303,NodoTest001,730770,received,1709242586272
2024-02-29 18:36:26.730127,NodoTest001,730962,received,1709242586371
2024-02-29 18:36:26.737127,NodoTest001,730975,received,1709242586472
2024-02-29 18:36:26.798523,NodoTest001,731167,received,1709242586572
2024-02-29 18:36:26.806749,NodoTest001,731179,received,1709242586671
2024-02-29 18:36:26.814747,NodoTest001,731234,received,1709242586772
2024-02-29 18:36:26.906746,NodoTest001,731333,received,1709242586871
2024-02-29 18:36:27.006923,NodoTest001,731433,received,1709242586971
2024-02-29 18:36:27.109335,NodoTest001,731533,received,1709242587072
2024-02-29 18:36:27.209406,NodoTest001,731634,received,1709242587171
2024-02-29 18:36:27.293413,NodoTest001,731683,keepAlive,
2024-02-29 18:36:27.549708,NodoTest001,731734,received,1709242587271
2024-02-29 18:36:27.596933,NodoTest001,731985,received,1709242587372
2024-02-29 18:36:27.604428,NodoTest001,731998,received,1709242587471
2024-02-29 18:36:27.751531,NodoTest001,732036,received,1709242587572
2024-02-29 18:36:27.766043,NodoTest001,732191,received,1709242587671
2024-02-29 18:36:27.809683,NodoTest001,732236,received,1709242587772
2024-02-29 18:36:27.967429,NodoTest001,732394,received,1709242587872
2024-02-29 18:36:28.009208,NodoTest001,732433,received,1709242587971
2024-02-29 18:36:28.173322,NodoTest001,732598,received,1709242588072
2024-02-29 18:36:28.208203,NodoTest001,732633,received,1709242588172
2024-02-29 18:36:28.364318,NodoTest001,732683,keepAlive,
2024-02-29 18:36:28.395717,NodoTest001,732805,received,1709242588271
2024-02-29 18:36:28.446231,NodoTest001,732834,received,1709242588371
2024-02-29 18:36:28.508266,NodoTest001,732934,received,1709242588472
2024-02-29 18:36:28.788129,NodoTest001,733214,received,1709242588572
2024-02-29 18:36:28.805465,NodoTest001,733227,received,1709242588671
2024-02-29 18:36:28.978549,NodoTest001,733245,received,1709242588772
2024-02-29 18:36:28.994925,NodoTest001,733419,received,1709242588872
2024-02-29 18:36:29.184068,NodoTest001,733433,received,1709242588971
2024-02-29 18:36:29.197063,NodoTest001,733623,received,1709242589071
2024-02-29 18:36:29.394528,NodoTest001,733636,received,1709242589172
2024-02-29 18:36:29.400526,NodoTest001,733683,keepAlive,
2024-02-29 18:36:29.407507,NodoTest001,733828,received,1709242589272
2024-02-29 18:36:29.447199,NodoTest001,733841,received,1709242589371
2024-02-29 18:36:29.508371,NodoTest001,733933,received,1709242589472
2024-02-29 18:36:29.812329,NodoTest001,734239,received,1709242589571
2024-02-29 18:36:30.003632,NodoTest001,734252,received,1709242589672
2024-02-29 18:36:30.011564,NodoTest001,734264,received,1709242589771
2024-02-29 18:36:30.210070,NodoTest001,734444,received,1709242589872
2024-02-29 18:36:30.217632,NodoTest001,734456,received,1709242589972
